S.No,Name of BC,Contact Number,Gender,Bank Name,State,District ,Office Name,Pincode,Corporate BC name,ODOP product,CODE WORD OF PRODUCT LIST,CROP2 NAME,CROP2 SEASON,CROP1 AREA,CROP1 PRODUCTION,CROP1 Pincode,CROP1 NAME,SEASON,CROP AREA,CROP PRODUCTION,CROP3 NAME,SEASON,CROP AREA,CROP PRODUCTION
11,Vishwaksen Pandey,4190048937,female,Tamilnad Mercantile Bank,Tamil Nadu,VELLORE,Gugainallore BO,632515,ADHIKAR MICRO FINANCE PVT LTD.,Leather Products,Vellore%Tamil Nadu,Rice,Rabi,Rabi,15516,632515,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
12,Ritu Singh,2077708635,male,Union Bank of India,Bihar,PURNIA,Akarthapa BO,854102,ADVANCE POWER SOLUTION,"Bamboo Art,Jute,Makhana",Purnea%Bihar,Rice,Winter,Winter,185906,854102,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
13,Reetika Khandelwal,1072787611,female,Axis Bank,Haryana,AMBALA,Chudiala B.O,133102,Agile Finserv Private Limited,"Scientific Equipments,Precision Engineering Products",Ambala%Haryana,Maize,Rabi,Rabi,47347,133102,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
14,Aakash A. Naidu,1405055697,male,Bandhan Bank,Bihar,MADHEPURA,BAIDYANATHPUR,852101,Agora Microfinance India Ltd,"Bamboo Art,Mango",Madhepura%Bihar,Rice,Winter,Winter,117196,852101,Bajra,Kharif,12,14,Groundnut,Kharif,12,12
15,Ajay Anil Naidu,8669194547,female,CSB Bank,Uttar Pradesh,KAUSHAMBI,Bandhawa Rajwar BO,212207,Agratam India Social Ventures Pvt Ltd,Food Processing (Banana),Kaushambi%Uttar Pradesh,Wheat,Rabi,Rabi,108449,212207,Bajra,Kharif,12,14,Groundnut,Kharif,12,12
16,Krashan Kant,3786595469,female,South Indian Bank,Kerala,THRISSUR,Puzhakkal SO,680553,Agriwise Finserv Ltd.,Coconut Products,Thrissur%Kerala,Coconut,Whole Year,Whole Year,485000000,680553,Bajra,Kharif,12,14,Groundnut,Kharif,12,12
17,Aman Kumar Soni,5930397517,female,DCB Bank,Haryana,HISAR,Kanwari BO,125037,AGROSERVE GLOBAL TECHNOLOGIES PRIVATE LIMITED,"Steel Products,Agriculture Implements,Dairy products",Hisar%Haryana,Maize,Rabi,Rabi,47347,125037,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
18,Bharti Shankar Chotwani,8941714749,male,Dhanlaxmi Bank,Uttar Pradesh,SONBHADRA,Banki BO,231213,Agrosperity Tech Solutions Pvt. Ltd.,Carpets,Sonbhadra%Uttar Pradesh,Wheat,Rabi,Rabi,117617,231213,Garlic,Rabi,4,23,Wheat,Rabi,90522,224042
19,Archana Chhotelal Thakur,4082928352,female,Federal Bank,Bihar,BEGUSARAI,Chhatauna BO,851130,Aimra Corporation Pvt Ltd,"Maize,Chilly",Begusarai%Bihar,Wheat,Rabi,Rabi,64159,851130,Garlic,Rabi,4,23,Wheat,Rabi,90522,224042
20,Vishal Vikram Singh,9937895379,female,HDFC Bank,Bihar,DARBHANGA,Gangauli BO,847407,Airan Limited,"Makhana,Madhubhani Paintings,Terracotta",Darbhanga%Bihar,Wheat,Rabi,Rabi,89175,847407,Garlic,Rabi,4,23,Wheat,Rabi,90522,224042
21,Pooja Choudhary,9754933753,male,ICICI Bank,Haryana,KARNAL,A.K.G.V.Mormajra B.O,132046,Airpay Payment Services Private Limited,"Ayurvedic Products,Food Processing,Printing and Packaging",Karnal%Haryana,Maize,Rabi,Rabi,47347,132046,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
22,Ramnarayan Patel,4481754076,female,IndusInd Bank,Bihar,KATIHAR,Awadpur BO,855102,Airtel Payment Bank Ltd,"Jute,Makhana,Maize",Katihar%Bihar,Rice,Winter,Winter,154124,855102,Moong(Green Gram),Rabi,90246,1527,Wheat,Rabi,90522,224042
23,Shambhu Kumar,3046939930,female,IDFC FIRST Bank,Bihar,ARARIA,Chiknihat BO,854331,AISECT,"Makhana,Jute",Araria%Bihar,Rice,Winter,Winter,216846,854331,Moong(Green Gram),Rabi,90246,1527,Wheat,Rabi,90522,224042
24,Vineet Kumar,6066418052,male,Karur Vysya Bank,Haryana,REWARI,Asiaki Gorawas BO,123035,AKOVA FINTECH SOLUTIONS PRIVATE LIMITED,"Motorcycles/ bikes,Engineering Goods",Rewari%Haryana,Maize,Rabi,Rabi,47347,123035,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
25,Vivek Kumar Mandal,2988530997,male,Kotak Mahindra Bank,Haryana,BHIWANI,Aun BO,127025,Aksh & Uttara Solutions,"Milk Product,Cattle Feed,Plastic Products",Bhiwani%Haryana,Maize,Rabi,Rabi,47347,127025,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
26,Arshika Jaiswal,2267024487,female,South Indian Bank,Andhra Pradesh,East Godavari,Gondi B.O,533251,Aksh optifibre,"Fruit Based Food Products (Pickles, Mango Jelly, Fruit Pulp, Cashew nuts, Lemon extracts),Ratnam pens,White Wood Birds,Pulagurta Clothing Shirting & Sarees,MuramundaClothing Shirting &
Sarees,Veeravaram Silk Sarees,Dulla Sarees",East Godavari%Andhra Pradesh,Rice,Whole Year,Whole Year,1563229,533251,Tobacco,Rabi,3010,13721,Wheat,Rabi,90522,224042
27,Anant Kumar Singh,7273365032,male,RBL Bank,Haryana,SONIPAT,Bhatgaon SO Sonipat,131022,Akshada Management Services Pvt Ltd,"Plastic moulded Products ( Electronic Toys),Food Processing,Stainless Steel Products",Sonipat%Haryana,Maize,Rabi,Rabi,47347,131022,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
28,Anshika Bhardwaj,5709086959,female,Nainital bank,Uttarakhand,PAURI GARHWAL,Bhainswara Ghandiyal BO,246001,Alankit Ltd.,Herbal Products,Pauri Garwal%Uttarakhand,Total foodgrain,Whole Year,Whole Year,104472,246001,Rice,Whole Year,14566,17359,Wheat,Rabi,90522,224042
29,Beauti Kumari,4957050702,male,Bank of Baroda,Haryana,KARNAL,Bara Gaon B.O,132023,Ambarish Parekh,"Ayurvedic Products,Food Processing,Printing and Packaging",Karnal%Haryana,Maize,Rabi,Rabi,47347,132023,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
30,Deepanwita,1629935310,male,Bank of India,Bihar,KISHANGANJ,Angarhat BO,855115,AMBITION SERVICES PRIVATE LIMITED,"Tea,Pineapple,Dragon Fruit",Kishanganj%Bihar,Rice,Winter,Winter,184220,855115,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
31,Shilpa Priyadarshani,8818974098,female,Bank of Maharashtra,Bihar,SUPAUL,Bhimnagar Bairrage SO,854338,AMIT ENTERPRISE,"Lac Bangles,Makhana",Supaul%Bihar,Rice,Winter,Winter,149839,854338,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
32,Pramod Kashyap,2835507685,male,Canara Bank,Haryana,MAHENDRAGARH,Akbarpur BO,123023,Apna Payments Services Private Limited,Mustard Oil,Mahendragarh%Haryana,Maize,Rabi,Rabi,47347,123023,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
33,Saroj Kumar Yadav,8575606816,male,Central Bank of India,Bihar,KATIHAR,Bansgarha BO,854115,Appan Dukan Marketing and Services Pvt. Ltd.,"Jute,Makhana,Maize",Katihar%Bihar,Rice,Winter,Winter,154124,854115,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
34,Ritesh Kumar Chaubey,2186188041,female,Indian Bank,Bihar,KATIHAR,BELWA BO,854107,ARM COMMERCIAL SERVICES PVT LTD,"Jute,Makhana,Maize",Katihar%Bihar,Rice,Winter,Winter,154124,854107,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
35,Piyush Chaturvedi,1132719389,male,Indian Overseas Bank,Uttar Pradesh,AURAIYA,Bela SO Auraiya,206251,ARMEE TECHNOLOGY SERVICES PVT LTD,Food Processing (Desi Ghee),Auraiya%Uttar Pradesh,Wheat,Rabi,Rabi,236332,206251,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
36,Ashutosh Kumar Singh,3006239146,male,Punjab and Sind Bank,Bihar,SUPAUL,Achalpur BO,852109,ARREDS TRUST,"Lac Bangles,Makhana",Supaul%Bihar,Rice,Winter,Winter,149839,852109,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
37,Amarjeet Kumar Singh,7057862651,female,Tamilnad Mercantile Bank,Tamil Nadu,KRISHNAGIRI,Bandarahalli B.O,635123,Arth Microfinance Private Limited,Mango-Food Processing,Krishnagiri%Tamil Nadu,Rice,Rabi,Rabi,15516,635123,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
38,Akash Deep,6519977675,female,South Indian Bank,Kerala,IDUKKI,Anavilasam BO,685535,ARYADHAN FINANCIAL SOLUTIONS PVT LTD,Spices,Idukki%Kerala,Black pepper,Whole Year,Whole Year,23916,685535,Sweet potato,Whole Year,4,88,Wheat,Rabi,90522,224042
39,Anshul Singh Bhadouriya,2341025355,female,UCO Bank,Haryana,HISAR,Badya Brahamana BO,125005,ASA International India Microfinance Ltd,"Steel Products,Agriculture Implements,Dairy products",Hisar%Haryana,Maize,Rabi,Rabi,47347,125005,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
40,Kumari Mamta Rani,4436648324,male,Union Bank of India,Uttar Pradesh,SONBHADRA,Billi Markundi BO,231219,ASSM TECHNOLOGY,Carpets,Sonbhadra%Uttar Pradesh,Wheat,Rabi,Rabi,117617,231219,Garlic,Rabi,4,23,Wheat,Rabi,90522,224042
41,Madhavi Kumari,6087131555,female,Axis Bank,Bihar,BEGUSARAI,Bihat SO,851135,ASTHANA SOCIETY,"Maize,Chilly",Begusarai%Bihar,Wheat,Rabi,Rabi,64159,851135,Garlic,Rabi,4,23,Wheat,Rabi,90522,224042
42,Madhuri Kumari,9285145776,female,Bandhan Bank,Bihar,KHAGARIA,Araria Balha BO,851203,Asuja Eserv Pvt Ltd,"Banana,Bamboo Art,Maize",Khagaria%Bihar,Maize,Rabi,Rabi,119465,851203,Garlic,Rabi,4,23,Wheat,Rabi,90522,224042
43,Deepali Lodhi,2563451440,male,CSB Bank,Uttar Pradesh,KANPUR NAGAR,Agriculture College SO,208002,Atyati Technologies Pvt Ltd,Leather Products,Kanpur Nagar%Uttar Pradesh,Wheat,Rabi,Rabi,155171,208002,Garlic,Rabi,4,23,Wheat,Rabi,90522,224042
44,Md. Ariz Taukir Siddiki,8177686965,female,City Union Bank,Bihar,BHOJPUR,Bampali BO,802312,Augmont Goldtech Private Limited,"Bhojpur Painting,Applique Work,Rice",Bhojpur%Bihar,Rice,Winter,Winter,287766,802312,Garlic,Rabi,4,23,Wheat,Rabi,90522,224042
45,Praveen Ranjan,7323153096,female,DCB Bank,West Bengal,PURULIYA,Agaibil BO,723129,Aviral Technologies Pvt Ltd,"Lac & Lac Products,Chow Mask",Purulia%West Bengal,Rice,Rabi,Rabi,15516,723129,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
46,Rishi Kumar,3881784424,female,Dhanlaxmi Bank,West Bengal,PURULIYA,Balakdih SO,723128,AXESPOINT TECHNOLOGIES,"Lac & Lac Products,Chow Mask",Purulia%West Bengal,Rice,Rabi,Rabi,15516,723128,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
47,Sanjay Pal,8623749674,male,Federal Bank,West Bengal,PURULIYA,Amrabera BO,723127,BABA MOTORS,"Lac & Lac Products,Chow Mask",Purulia%West Bengal,Rice,Rabi,Rabi,15516,723127,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
48,Saurabh Raj Singh,2844233549,male,HDFC Bank,West Bengal,PURULIYA,Anara BO,723126,BALAJI IT TECHNOLOGY SOLUTIONS PRIVATE LTD,"Lac & Lac Products,Chow Mask",Purulia%West Bengal,Rice,Rabi,Rabi,15516,723126,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
49,Sushant Kumar Singh,3043248242,male,ICICI Bank,West Bengal,PURULIYA,Adra Market SO,723121,Bankit Services Private Limited,"Lac & Lac Products,Chow Mask",Purulia%West Bengal,Rice,Rabi,Rabi,15516,723121,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
50,Uttam Kumar Pathak,5578602265,male,South Indian Bank,Kerala,ERNAKULAM,Chottanikkara SO,682312,Baroda Global Shared Services limited (BGSS),Oleo Raisins,Ernakulam%Kerala,Coconut,Whole Year,Whole Year,212000000,682312,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
51,Vandana Sharma,3572015237,male,Tamilnad Mercantile Bank,Tamil Nadu,VELLORE,Kattazhambattu BO,632312,Bartronics India Ltd,Leather Products,Vellore%Tamil Nadu,Rice,Rabi,Rabi,15516,632312,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
52,Aparna Dubey,7416417969,male,Tamilnad Mercantile Bank,Tamil Nadu,RAMANATHAPURAM,Kuruvadi BO,623120,BD FINANCIAL SERVICES,"Marine Foods,Dry Fish",Ramnad (Ramanathapuram)%Tamil Nadu,Rice,Rabi,Rabi,15516,623120,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
53,Aman Kumar Arya,9235067708,female,South Indian Bank,Andhra Pradesh,SRIKAKULAM,Bhirlangi B.O,532312,Bharat Financial Inclusion Ltd,"Ponduru Cotton Sarees,Budithi Bell & Brass Metal Craft,Ponduru Dhoti & Shirtings,Jute Works,Cashew Kernels",Srikakulam%Andhra Pradesh,Rice,Whole Year,Whole Year,447672,532312,Rice,Summer,4005,,Wheat,Rabi,90522,224042
54,Mahee Dubey,3765129370,female,South Indian Bank,Andhra Pradesh,Guntur,Alapadu B.O,522312,BHARTIYA SAMRUDDHI FINANCE LTD,"Chillies,Bronze Casting,Mangalagiri sarees and Fabric",Guntur%Andhra Pradesh,Rice,Whole Year,Whole Year,1111932,522312,Rice,Summer,4005,,Wheat,Rabi,90522,224042
55,Sushil Kumar Yadav,6277747801,male,South Indian Bank,Telangana,SIDDIPET,Kodakandla S.O,502312,BLAZE TRUST,"Golabama Sarees,Cherial Paintings",Siddipet%Telangana,Rice,Rabi,Rabi,15516,502312,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
56,Vishwajeet Virottam,7153093447,male,YES Bank,Maharashtra,PUNE,Tondal B.O,412312,BLS INTERNATIONAL SERVICES LIMITED,"Engineering Goods,Frozen Food",Pune%Maharashtra,Jowar,Rabi,Rabi,131700,412312,Sesamum,Rabi,100,0,Wheat,Rabi,90522,224042
57,Brijendra Kumar Rai,2493302601,male,Bank of Baroda,Rajasthan,JODHPUR,Barsallu Kallan BO,342312,BLUE3 IT SOLUTIONS PVT. LTD,Furniture - Handicraft Products,Jodhpur%Rajasthan,Rice,Rabi,Rabi,15516,342312,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
58,Rajeev Ranjan Dwivedi,9981723095,female,Bank of India,Rajasthan,SIKAR,Alkhpura Bogan BO,332312,Bold Finance Technologies Pvt Ltd,Furniture - Antique,Sikar%Rajasthan,Rice,Rabi,Rabi,15516,332312,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
59,Raviprakash Singh Kushwaha,1611201266,male,Bank of Maharashtra,Uttar Pradesh,SONBHADRA,Bagesoti BO,231226,Bonfleet Solutions Private Limited,Carpets,Sonbhadra%Uttar Pradesh,Wheat,Rabi,Rabi,117617,231226,Garlic,Rabi,4,23,Wheat,Rabi,90522,224042
60,Rahul Kaithwar,3073710660,male,Canara Bank,Uttar Pradesh,SONBHADRA,Anpara Tps SO,231225,BSS Microfinance Limited,Carpets,Sonbhadra%Uttar Pradesh,Wheat,Rabi,Rabi,117617,231225,Garlic,Rabi,4,23,Wheat,Rabi,90522,224042
61,Munna Yadav,5014847640,female,Central Bank of India,Uttar Pradesh,SONBHADRA,Kakari Project SO,231224,Buldana Urban Management Services Private Limited,Carpets,Sonbhadra%Uttar Pradesh,Wheat,Rabi,Rabi,117617,231224,Garlic,Rabi,4,23,Wheat,Rabi,90522,224042
62,Dharmendra Kumar Giri,9959138130,female,Indian Bank,Uttar Pradesh,SONBHADRA,Asanahar BO,231223,BULLOCKCART WORKERS DEVELOPMENT ASSOCIAT,Carpets,Sonbhadra%Uttar Pradesh,Wheat,Rabi,Rabi,117617,231223,Garlic,Rabi,4,23,Wheat,Rabi,90522,224042
63,Anshul Kumar Srivastava,7610302606,female,Indian Overseas Bank,Uttar Pradesh,SONBHADRA,Khadia Project SO,231222,Bumppy Media Private Limited,Carpets,Sonbhadra%Uttar Pradesh,Wheat,Rabi,Rabi,117617,231222,Garlic,Rabi,4,23,Wheat,Rabi,90522,224042
64,Sarvesh Singh,4371298803,male,Punjab and Sind Bank,Uttar Pradesh,SONBHADRA,Adalganj BO,231205,Cashpor Micro Credit,Carpets,Sonbhadra%Uttar Pradesh,Wheat,Rabi,Rabi,117617,231205,Garlic,Rabi,4,23,Wheat,Rabi,90522,224042
65,Rashmi Pradip Wagh,6435129783,male,Jammu & Kashmir Bank,Jammu and Kashmir,REASI,Jyotipuram SO,182312,CDOT DEVELOPMENT SERVICES PRIVATE LIMITED(CDSPL),Aromatic Plants,Reasi%Jammu & Kashmir,Maize,Kharif,Kharif,17437,182312,Rice,Summer,4005,,Wheat,Rabi,90522,224042
66,Pranaw Singh,7751546299,female,State Bank of India,Jharkhand,PALAMAU,Chiyanki BO,822102,Centillion Solutions and Services Pvt Ltd,Pulses- Arhar,Palamu%Jharkhand,Rice,Rabi,Rabi,15516,822102,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
67,Sarang Keshav Farkade,2049537377,female,UCO Bank,Jharkhand,PALAMAU,Belwatikar Nd SO,822101,CENTRE FOR DEVELPOMENT ORIENTATION & TRAINING (CDOT),Pulses- Arhar,Palamu%Jharkhand,Rice,Rabi,Rabi,15516,822101,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
68,Nigam Kumari,4403116684,male,Union Bank of India,Bihar,BHOJPUR,Ashni Jaitpur BO,802210,CENTRE FOR ENTRPNEURSHIP DEVELOPMENT M P CEDMAP,"Bhojpur Painting,Applique Work,Rice",Bhojpur%Bihar,Rice,Winter,Winter,287766,802210,Rice,Summer,4005,,Wheat,Rabi,90522,224042
69,Akshat Kumar,5068350678,female,Axis Bank,West Bengal,MALDA,Baishnabnagar SO,732210,Champion Software Technologies Ltd,"Silk and Silk products,Makhana,Mango and its processed products",Malda%West Bengal,Rice,Rabi,Rabi,15516,732210,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
70,Dharmendra Kumar Pandey,1051217063,male,Bandhan Bank,West Bengal,BANKURA,Anchuri Salboni BO,722102,Chankya E Services Pvt Ltd,"Terracota,Dokra,Baluchari",Bankura%West Bengal,Rice,Winter,Winter,794716,722102,Peas & beans (Pulses),Rabi,60,73,Wheat,Rabi,90522,224042
71,Niranjan Kumar Singh,5268797779,female,CSB Bank,West Bengal,BANKURA,Bankura  DSB SO,722101,CITTAPLUS CONSULTANCY PRIVATE LIMITED,"Terracota,Dokra,Baluchari",Bankura%West Bengal,Rice,Winter,Winter,794716,722101,Peas & beans (Pulses),Rabi,60,73,Wheat,Rabi,90522,224042
72,Brijesh Pathak,8246921098,female,Tamilnad Mercantile Bank,Tamil Nadu,PUDUKKOTTAI,Kudumianmalai B.O,622104,CMS Computers Ltd,"Engineering Products,Cashew",Pudukkottai%Tamil Nadu,Rice,Rabi,Rabi,15516,622104,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
73,Anshu Singh,4835322385,male,Tamilnad Mercantile Bank,Tamil Nadu,PUDUKKOTTAI,Muckanamalaipatti S.O,622103,COMMONWEALTH INCLUSIVE GROWTH FOUNDATION,"Engineering Products,Cashew",Pudukkottai%Tamil Nadu,Rice,Rabi,Rabi,15516,622103,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
74,Gunjan Kumar Dwivedi,1734739238,male,Tamilnad Mercantile Bank,Tamil Nadu,PUDUKKOTTAI,Ennai B.O,622102,COMMONWEALTH INCLUSIVE GROWTH SERVICES LIMITED,"Engineering Products,Cashew",Pudukkottai%Tamil Nadu,Rice,Rabi,Rabi,15516,622102,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
75,Smit Kumar,8474068108,male,Tamilnad Mercantile Bank,Tamil Nadu,PUDUKKOTTAI,Annavasal S.O,622101,Community Collective Society for Integrated Development (CCFID),"Engineering Products,Cashew",Pudukkottai%Tamil Nadu,Rice,Rabi,Rabi,15516,622101,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
76,Pawan Kumar Singh,1915823401,female,Karnataka Bank,Karnataka,GADAG,Shigli S.O,582210,Conatus Management Services Pvt Ltd,"Byadagi Chilies,Textiles",Gadag%Karnataka,Gram,Rabi,Rabi,54186,582210,Maize,Summer,115,375,Tobacco,Whole Year,5,4
77,Shashi Kant Mishra,1478726826,male,South Indian Bank,Andhra Pradesh,Bapatla,A F Station B.O,522102,Coromandel Infotech India Limited,"Granite Cutting and Polishing,Cotton Bags,Chirala Silk Sarees",Bapatla%Andhra Pradesh,other oilseeds,Kharif,Kharif,126982,522102,Papaya,Kharif,52830,46922,Pome Granet,Kharif,52797,52
78,Vaikuntesh G. Naidu,1657843782,female,South Indian Bank,Andhra Pradesh,Guntur,Bapatla H.O,522101,CSC e- Governance Services India Ltd,"Chillies,Bronze Casting,Mangalagiri sarees and Fabric",Guntur%Andhra Pradesh,Rice,Whole Year,Whole Year,1111932,522101,Rice,Summer,4005,,Wheat,Rabi,90522,224042
79,Virendra Dubey,6478687498,female,South Indian Bank,Telangana,SANGAREDDY,Bilalpur B.O,502210,Damanpreet Singh,Engineering Products,Sangareddy%Telangana,Rice,Rabi,Rabi,15516,502210,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
80,Dewlal Jaiswal,3904290925,male,Karur Vysya Bank,Maharashtra,NASHIK,Bhendali B.O,422210,DATUM MICRO CREDIT,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Bajra,Kharif,Kharif,108900,422210,Safflower,Rabi,100,100,Groundnut,Summer,100,200
81,Sailendra Kumar Pandey,5690648747,male,Kotak Mahindra Bank,Maharashtra,NASHIK,Kotamgaon B.O,422105,Dave & Dave Associates,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Bajra,Kharif,Kharif,108900,422105,Safflower,Rabi,100,100,Groundnut,Summer,100,200
82,Shriom Kumar,8984147497,male,IDBI Bank,Maharashtra,NASHIK,Dahiwadi B.O,422104,DECCAN KING,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Bajra,Kharif,Kharif,108900,422104,Safflower,Rabi,100,100,Groundnut,Summer,100,200
83,Punit Kumar Vishwakarma,8088925886,male,RBL Bank,Maharashtra,NASHIK,Baragaonpimpri B.O,422103,Decimus Financial Ltd,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Bajra,Kharif,Kharif,108900,422103,Safflower,Rabi,100,100,Groundnut,Summer,100,200
84,Juli Srivastava,4470839609,female,YES Bank,Maharashtra,NASHIK,Brahmanwade B.O,422102,Department of Posts,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Bajra,Kharif,Kharif,108900,422102,Safflower,Rabi,100,100,Groundnut,Summer,100,200
85,Prateek Pandya,8136898674,male,Bank of Baroda,Maharashtra,NASHIK,Idgaon Devlali S.O,422101,DHAIRYASHIL JAYSING CHAVAN,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Bajra,Kharif,Kharif,108900,422101,Safflower,Rabi,100,100,Groundnut,Summer,100,200
86,Suraj Kumar Pandey,7152644043,male,Bank of India,Maharashtra,PUNE,Chinchani Camp B.O,412210,Dhan Hind Utility Pvt Ltd,"Engineering Goods,Frozen Food",Pune%Maharashtra,Jowar,Rabi,Rabi,131700,412210,Sesamum,Rabi,100,0,Wheat,Rabi,90522,224042
