S.No,Name of BC,Contact Number,Gender,State,District ,Office Name,Pincode,Corporate BC name,ODOP product,CODE WORD OF PRODUCT LIST,CROP1 NAME,CROP1 SEASON,CROP1 PRODUCTION
61,Munna Yadav,5014847640,female,Uttar Pradesh,SONBHADRA,Kakari Project SO,231224,Buldana Urban Management Services Private Limited,Carpets,Sonbhadra%Uttar Pradesh,Wheat,Rabi,117617
62,Dharmendra Kumar Giri,9959138130,female,Uttar Pradesh,SONBHADRA,Asanahar BO,231223,BULLOCKCART WORKERS DEVELOPMENT ASSOCIAT,Carpets,Sonbhadra%Uttar Pradesh,Wheat,Rabi,117617
63,Anshul Kumar Srivastava,7610302606,female,Uttar Pradesh,SONBHADRA,Khadia Project SO,231222,Bumppy Media Private Limited,Carpets,Sonbhadra%Uttar Pradesh,Wheat,Rabi,117617
64,Sarvesh Singh,4371298803,male,Uttar Pradesh,SONBHADRA,Adalganj BO,231205,Cashpor Micro Credit,Carpets,Sonbhadra%Uttar Pradesh,Wheat,Rabi,117617
65,Rashmi Pradip Wagh,6435129783,male,Jammu and Kashmir,REASI,Jyotipuram SO,182312,CDOT DEVELOPMENT SERVICES PRIVATE LIMITED(CDSPL),Aromatic Plants,Reasi%Jammu & Kashmir,Maize,Kharif,17437
66,Pranaw Singh,7751546299,female,Jharkhand,PALAMAU,Chiyanki BO,822102,Centillion Solutions and Services Pvt Ltd,Pulses- Arhar,Palamu%Jharkhand,Rice,Rabi,15516
67,Sarang Keshav Farkade,2049537377,female,Jharkhand,PALAMAU,Belwatikar Nd SO,822101,CENTRE FOR DEVELPOMENT ORIENTATION & TRAINING (CDOT),Pulses- Arhar,Palamu%Jharkhand,Rice,Rabi,15516
68,Nigam Kumari,4403116684,male,Bihar,BHOJPUR,Ashni Jaitpur BO,802210,CENTRE FOR ENTRPNEURSHIP DEVELOPMENT M P CEDMAP,"Bhojpur Painting,Applique Work,Rice",Bhojpur%Bihar,Rice,Winter,287766
69,Akshat Kumar,5068350678,female,West Bengal,MALDA,Baishnabnagar SO,732210,Champion Software Technologies Ltd,"Silk and Silk products,Makhana,Mango and its processed products",Malda%West Bengal,Rice,Rabi,15516
70,Dharmendra Kumar Pandey,1051217063,male,West Bengal,BANKURA,Anchuri Salboni BO,722102,Chankya E Services Pvt Ltd,"Terracota,Dokra,Baluchari",Bankura%West Bengal,Rice,Winter,794716
71,Niranjan Kumar Singh,5268797779,female,West Bengal,BANKURA,Bankura  DSB SO,722101,CITTAPLUS CONSULTANCY PRIVATE LIMITED,"Terracota,Dokra,Baluchari",Bankura%West Bengal,Rice,Winter,794716
72,Brijesh Pathak,8246921098,female,Tamil Nadu,PUDUKKOTTAI,Kudumianmalai B.O,622104,CMS Computers Ltd,"Engineering Products,Cashew",Pudukkottai%Tamil Nadu,Rice,Rabi,15516
73,Anshu Singh,4835322385,male,Tamil Nadu,PUDUKKOTTAI,Muckanamalaipatti S.O,622103,COMMONWEALTH INCLUSIVE GROWTH FOUNDATION,"Engineering Products,Cashew",Pudukkottai%Tamil Nadu,Rice,Rabi,15516
74,Gunjan Kumar Dwivedi,1734739238,male,Tamil Nadu,PUDUKKOTTAI,Ennai B.O,622102,COMMONWEALTH INCLUSIVE GROWTH SERVICES LIMITED,"Engineering Products,Cashew",Pudukkottai%Tamil Nadu,Rice,Rabi,15516
75,Smit Kumar,8474068108,male,Tamil Nadu,PUDUKKOTTAI,Annavasal S.O,622101,Community Collective Society for Integrated Development (CCFID),"Engineering Products,Cashew",Pudukkottai%Tamil Nadu,Rice,Rabi,15516
76,Pawan Kumar Singh,1915823401,female,Karnataka,GADAG,Shigli S.O,582210,Conatus Management Services Pvt Ltd,"Byadagi Chilies,Textiles",Gadag%Karnataka,Gram,Rabi,54186
77,Shashi Kant Mishra,1478726826,male,Andhra Pradesh,Bapatla,A F Station B.O,522102,Coromandel Infotech India Limited,"Granite Cutting and Polishing,Cotton Bags,Chirala Silk Sarees",Bapatla%Andhra Pradesh,other oilseeds,Kharif,126982
78,Vaikuntesh G. Naidu,1657843782,female,Andhra Pradesh,Guntur,Bapatla H.O,522101,CSC e- Governance Services India Ltd,"Chillies,Bronze Casting,Mangalagiri sarees and Fabric",Guntur%Andhra Pradesh,Rice,Whole Year,1111932
79,Virendra Dubey,6478687498,female,Telangana,SANGAREDDY,Bilalpur B.O,502210,Damanpreet Singh,Engineering Products,Sangareddy%Telangana,Rice,Rabi,15516
80,Dewlal Jaiswal,3904290925,male,Maharashtra,NASHIK,Bhendali B.O,422210,DATUM MICRO CREDIT,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Bajra,Kharif,108900
81,Sailendra Kumar Pandey,5690648747,male,Maharashtra,NASHIK,Kotamgaon B.O,422105,Dave & Dave Associates,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Bajra,Kharif,108900
82,Shriom Kumar,8984147497,male,Maharashtra,NASHIK,Dahiwadi B.O,422104,DECCAN KING,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Bajra,Kharif,108900
83,Punit Kumar Vishwakarma,8088925886,male,Maharashtra,NASHIK,Baragaonpimpri B.O,422103,Decimus Financial Ltd,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Bajra,Kharif,108900
84,Juli Srivastava,4470839609,female,Maharashtra,NASHIK,Brahmanwade B.O,422102,Department of Posts,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Bajra,Kharif,108900
85,Prateek Pandya,8136898674,male,Maharashtra,NASHIK,Idgaon Devlali S.O,422101,DHAIRYASHIL JAYSING CHAVAN,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Bajra,Kharif,108900
86,Suraj Kumar Pandey,7152644043,male,Maharashtra,PUNE,Chinchani Camp B.O,412210,Dhan Hind Utility Pvt Ltd,"Engineering Goods,Frozen Food",Pune%Maharashtra,Jowar,Rabi,131700
87,Chandan Kumar Roy,8138971249,female,Gujarat,BHARUCH,Bharthana BO,392210,Dhanvarsha Finvest Limited,"Sujani (Handloom),Chemicals (Chemicals, Agro Chemicals, Pesticide, Pharmaceutical, API)",Bharuch%Gujarat,Maize,Rabi,47347
88,Priyanshu Shrivastav,6138106422,male,Gujarat,AHMEDABAD,Bakrol BO,382210,Dhosa Chandeneswar Bratyajana Samity,"Garment & Apparel,Gamthi Block print/ Saudagiri Block Print,Terracotta,Mata ni Pachedi",Ahmedabad%Gujarat,Maize,Rabi,47347
89,Akhilesh Kumar Singh,3347189358,male,Uttar Pradesh,JAUNPUR,Barpur BO,222109,Digicard Services  Pvt Ltd,Woollen Carpets (Dari),Jaunpur%Uttar Pradesh,Wheat,Rabi,405486
90,Ambujesh Kumar Pandey,5106733339,male,Uttar Pradesh,JAUNPUR,Auraila BO,222105,DIGIPAY CSP PRIVATE LIMITED,Woollen Carpets (Dari),Jaunpur%Uttar Pradesh,Wheat,Rabi,405486
91,Narender Singh,2436860165,male,Uttar Pradesh,JAUNPUR,Latifpur BO,222101,Digital India,Woollen Carpets (Dari),Jaunpur%Uttar Pradesh,Wheat,Rabi,405486
92,Akhilesh Kumar Ojha,2383888534,female,Uttar Pradesh,CHANDAULI,Kustha Sewa Ashram SO,221012,DIGIVRIDDHI TECHNOLOGIES PRIVATE LIMITED,"Zari-Zardozi,Black Rice",Chandauli%Uttar Pradesh,Rice,Kharif,303793
93,Mohammad Shad,5103236625,male,Uttar Pradesh,VARANASI,Bachhaon BO,221011,DIKSHU INDIA COMMUNICATIONS PVT LTD,Banarasi Silk Saree,Varanasi%Uttar Pradesh,Wheat,Rabi,127010
94,Sudhanshu Dwivedi,9698136896,female,Uttar Pradesh,VARANASI,Aurangabad SO Varanasi,221010,Disha India Microcredit,Banarasi Silk Saree,Varanasi%Uttar Pradesh,Wheat,Rabi,127010
95,Nikhil Singh Parmar,5372788578,female,Uttar Pradesh,CHANDAULI,Sahupuri SO,221009,Drishtee Development and Communication Ltd.,"Zari-Zardozi,Black Rice",Chandauli%Uttar Pradesh,Rice,Kharif,303793
96,Siddharth Gupta,3281180133,male,Uttar Pradesh,VARANASI,Kateshar BO,221008,DRU Gold Private Limited,Banarasi Silk Saree,Varanasi%Uttar Pradesh,Wheat,Rabi,127010
97,Abhay Kumar Soni,9355990303,male,Uttar Pradesh,VARANASI,Ashapur BO,221007,DVARA KSHETRIYA GRAMIN FINANCIAL SERVICES PVT,Banarasi Silk Saree,Varanasi%Uttar Pradesh,Wheat,Rabi,127010
98,Roshani Kumari,6385340233,female,Uttar Pradesh,VARANASI,Babatpur Ad SO,221006,E-GRAMIN SERVICES PVT LTD,Banarasi Silk Saree,Varanasi%Uttar Pradesh,Wheat,Rabi,127010
99,Mudit Kumar Sharma,9513241704,female,Uttar Pradesh,VARANASI,Assi SO,221005,Earth More Private Limited,Banarasi Silk Saree,Varanasi%Uttar Pradesh,Wheat,Rabi,127010
100,Shashi Kant Azad,4955278033,female,Uttar Pradesh,VARANASI,DLW SO,221004,Easy Homes Finance Limited,Banarasi Silk Saree,Varanasi%Uttar Pradesh,Wheat,Rabi,127010
101,Ashwini Kumar,5680997579,female,Uttar Pradesh,VARANASI,Chamaon BO,221003,EASY PAY PVT  LTD.,Banarasi Silk Saree,Varanasi%Uttar Pradesh,Wheat,Rabi,127010
102,Radhe Shyam Jaiswal,1224788195,male,Uttar Pradesh,VARANASI,39 Gtd SO,221002,Ecartes Technology Pvt.Ltd.,Banarasi Silk Saree,Varanasi%Uttar Pradesh,Wheat,Rabi,127010
103,Abhay Chaubey,4573820505,female,Uttar Pradesh,VARANASI,Bengalitola SO,221001,EDUCATE SKILL AND WORK INDIA,Banarasi Silk Saree,Varanasi%Uttar Pradesh,Wheat,Rabi,127010
104,Gaurav Umar Vaishya,9665132253,female,Jammu and Kashmir,ANANTHNAG,Dialgam,192210,EKO INDIA FINANCIAL SERVICES PRIVATE LIMITED,Trout Fish,Anantnag%Jammu & Kashmir,Rice,Kharif,19403
105,Ajay Raj,3139018224,female,Odisha,KANDHAMAL,Arapaju B.O,762012,eKOSH FINANCIAL SERVICES PVT LTD,Turmeric,Kandhamal%Odisha,Rice,Winter,73000
106,Prince Kumar Singh,9985710543,male,Odisha,PURI,Alasana B.O,752012,EQUITY CAPITAL ADVISORS (INDIA) PRIVATE LIMITED,"Handicrafts- Pattachitra,Marine Products",Puri%Odisha,Rice,Winter,182000
107,Damini,1642614565,male,Kerala,ERNAKULAM,Pachalam SO,682012,ESAF Swasraya Multi-State Agro co-operative Society,Oleo Raisins,Ernakulam%Kerala,Coconut,Whole Year,212000000
108,Nitish Kumar Tripathi,8858425625,female,Tamil Nadu,VELLORE,Saidapet S.O (Vellore),632012,EVER GREEN FORUM,Leather Products,Vellore%Tamil Nadu,Rice,Rabi,15516
109,Rahul Srivastava,3984384139,male,Chattisgarh,RAIPUR,Krishak Nagar SO,492012,EVERGREEN DEVELOPMENT SOCIETY AND LIBRARY,Papaya Based Product,Raipur%Chhattisgarh,Rice,Kharif,376312
110,Deepa Sharma,2314812488,female,Madhya Pradesh,INDORE,Rajendra Nagar S.O (Indore),452012,Evergreen Proserv,Potato,Indore%Madhya Pradesh,Rice,Rabi,15516
111,Ankitesh Kumar,8275955810,female,Maharashtra,NASHIK,Ashok Nagar S.O (Nashik),422012,Exclusive Leasing and Finance Pvt.Ltd.,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Bajra,Kharif,108900
112,Pankhuri Agarwal,8391148467,male,Gujarat,BHARUCH,Amleshwar BO,392012,FAB N MORE,"Sujani (Handloom),Chemicals (Chemicals, Agro Chemicals, Pesticide, Pharmaceutical, API)",Bharuch%Gujarat,Maize,Rabi,47347
113,Nikhil Kumar Dwivedi,8613650178,female,Rajasthan,JODHPUR,Boranada SO,342012,FABLE O ENTERPRISES,Furniture - Handicraft Products,Jodhpur%Rajasthan,Rice,Rabi,15516
114,Shailendra Kumar,6768255572,male,Rajasthan,JAIPUR,Hathoj B.O,302012,FAIRLANDS TECHNOLOGY SERVICES PRIVATE LIMITED,"Pottery - Blue,Gems & Jewllery,Block Printing Items",Jaipur%Rajasthan,Rice,Rabi,15516
115,Mohd. Asim Alam,7147035302,male,Uttar Pradesh,GHAZIABAD,Abupur BO,201206,FENEXA TECHNOLOGY PRIVATE LIMITED,Engineering goods,Ghaziabad%Uttar Pradesh,Wheat,Rabi,86645
116,Richa Singh,8676951097,male,Uttar Pradesh,GHAZIABAD,Begmabad BO,201204,FIA Technology Services Pvt. Ltd,Engineering goods,Ghaziabad%Uttar Pradesh,Wheat,Rabi,86645
117,Anupam Kumar Jha,5589184781,female,Uttar Pradesh,GHAZIABAD,Churiyala BO,201201,Financial Software and Systems Pvt Ltd,Engineering goods,Ghaziabad%Uttar Pradesh,Wheat,Rabi,86645
118,Ramu Gupta,4902649234,female,West Bengal,BANKURA,Chandra BO,722132,FINMAP Solutions Private Limited,"Terracota,Dokra,Baluchari",Bankura%West Bengal,Rice,Winter,794716
119,Pushpanjali Kumari,4536836823,male,Karnataka,TUMAKURU,Ankalakoppa B.O,572213,Finnable Technologies Pvt. Ltd. & Finnable Credit Pvt. Ltd.,"Machine Tool,Coir based Industries",Tumakuru%Karnataka,Rice,Rabi,15516
120,Nitya Nand Pathak,3222046823,male,Andhra Pradesh,SRIKAKULAM,Labara B.O,532213,FINO Payment Bank,"Ponduru Cotton Sarees,Budithi Bell & Brass Metal Craft,Ponduru Dhoti & Shirtings,Jute Works,Cashew Kernels",Srikakulam%Andhra Pradesh,Rice,Whole Year,447672
121,Md.Jalal .,8328608361,male,Andhra Pradesh,Guntur,Anamarlapudi B.O,522213,Finserin Online Services Private Limited,"Chillies,Bronze Casting,Mangalagiri sarees and Fabric",Guntur%Andhra Pradesh,Rice,Whole Year,1111932
122,Ambalika Dwivedi,7850683223,male,Maharashtra,NASHIK,Anjneri B.O,422213,Finsigma Inclusive Services Pvt Ltd,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Bajra,Kharif,108900
123,Priyanka Verma,1900127197,female,Maharashtra,PUNE,Ambavane B.O,412213,FOUR LEAF CLOVER AGRO PRIVATE LIMITED,"Engineering Goods,Frozen Food",Pune%Maharashtra,Jowar,Rabi,131700
124,Rama Sundari Ayalasomiajula,9187449840,female,Gujarat,AHMEDABAD,Changodar SO,382213,Fourth Dimension Solutions Limited,"Garment & Apparel,Gamthi Block print/ Saudagiri Block Print,Terracotta,Mata ni Pachedi",Ahmedabad%Gujarat,Maize,Rabi,47347
